year,Q4_country,Q12_coding language_Python,Q12_coding language_R,Q12_coding language_SQL,Q12_coding language_C,Q12_coding language_C++,Q12_coding language_Java,Q12_coding language_Javascript,Q12_coding language_Bash,Q12_coding language_MATLAB,Q12_coding language_Julia
2020,Nigeria,Python,,,,,,,,,
2020,Ireland,Python,,,,,,Javascript,,,
2020,United States of America,Python,,,,,,,,,
2020,India,,,,,,,,,,
2020,Other,Python,R,SQL,,,Java,,,,
2020,Ghana,Python,,,,,,Javascript,,,
2020,Netherlands,Python,,,,C++,,,,MATLAB,
2020,India,Python,,,,,,,,,
2020,Canada,Python,,SQL,,,,,,,
2020,Nigeria,Python,,SQL,,,Java,Javascript,,,Julia
2020,India,Python,R,,,,,,,,
2020,Other,Python,,,,,,,,MATLAB,
2020,Philippines,,,SQL,,,,,,,
2020,United States of America,Python,,SQL,,,Java,Javascript,Bash,,
2020,Nigeria,Python,,,,,,,,,
2020,France,Python,,SQL,C,C++,Java,Javascript,Bash,,
2020,France,Python,R,,,,,,,,
2020,China,,,,,,,,,,
2020,Netherlands,Python,,SQL,,C++,,,Bash,,
2020,Germany,,,SQL,,C++,,,,,
2020,Morocco,Python,,,,,,,,,
2020,Spain,Python,R,,,,Java,,,,
2020,India,,,,,,,,,,
2020,India,Python,,SQL,C,C++,Java,Javascript,,,
2020,Turkey,,,,,,,,,,
2020,Belgium,Python,,,,,,,Bash,,
2020,Other,,R,,,,,,,,
2020,Germany,Python,,SQL,,,,,,,
2020,Egypt,,,,,,,,,,
2020,Saudi Arabia,Python,,SQL,,,,,,,
2020,Russia,Python,,SQL,,,,,,MATLAB,
2020,India,Python,,SQL,,,,,,,
2020,Other,Python,R,SQL,,C++,Java,Javascript,,MATLAB,
2020,India,,,,,,,,,,
2020,Turkey,Python,,SQL,,,,,,,
2020,Russia,Python,,SQL,,,,,Bash,,
2020,Italy,Python,,,,,,,,,
2020,United States of America,Python,,SQL,C,C++,Java,,,,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Spain,Python,R,SQL,,,,,,,
2020,Spain,Python,R,,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,,,,,,,,,,
2020,"Iran, Islamic Republic of...",Python,R,SQL,C,C++,Java,Javascript,,MATLAB,
2020,Spain,Python,,SQL,C,C++,Java,,Bash,,
2020,United States of America,,R,SQL,,,,,,,
2020,India,Python,,,,,,,,,
2020,United Kingdom of Great Britain and Northern Ireland,Python,,,C,C++,,,,MATLAB,
2020,United States of America,Python,R,SQL,,C++,,Javascript,Bash,,
2020,India,Python,,,C,C++,Java,Javascript,,,
2020,India,Python,,,,,,,,,
2020,Italy,,,,,C++,,,,MATLAB,
2020,India,Python,,,C,,,,,,
2020,United States of America,Python,,SQL,,,Java,,,,
2020,Spain,Python,R,,C,,,,,,
2020,Germany,Python,,,,C++,,,,,
2020,India,Python,,,C,C++,,,,,
2020,India,Python,,,,C++,,Javascript,,,
2020,United States of America,Python,,SQL,,,,,,,
2020,India,Python,,,,,,Javascript,,,
2020,India,Python,,SQL,C,C++,Java,,,MATLAB,
2020,India,Python,,,,,,Javascript,,MATLAB,
2020,Japan,Python,R,SQL,,C++,Java,Javascript,,,
2020,Peru,Python,,SQL,,,Java,Javascript,,,Julia
2020,Other,Python,,SQL,,,Java,,Bash,MATLAB,
2020,United States of America,Python,,SQL,,,,Javascript,,,
2020,Egypt,Python,,SQL,,,,,,,
2020,Germany,Python,R,SQL,,,,,,,
2020,Other,Python,,,,,,,,,
2020,Tunisia,Python,,,,,,,,,
2020,Romania,Python,R,,,,,,,,
2020,India,,,,,,,,,,
2020,India,Python,R,,C,C++,,,,,
2020,India,Python,,,C,,Java,,,,
2020,Russia,Python,,,,,,,,,
2020,United States of America,Python,R,,,,,,,,
2020,India,Python,R,,,,,,,,
2020,India,Python,,,,C++,,,,,
2020,India,,,,,,,,,,
2020,India,Python,,SQL,,,,,,,
2020,India,Python,R,SQL,,,,,,,
2020,United Kingdom of Great Britain and Northern Ireland,Python,R,,,,,,,,
2020,United States of America,Python,,,,,,,,,
2020,United States of America,Python,R,SQL,,,,,Bash,,
2020,India,Python,,,,,,,,,
2020,United States of America,Python,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,,SQL,,,Java,Javascript,,,
2020,India,Python,,,,C++,,Javascript,,MATLAB,
2020,Nigeria,Python,,,,,,,,,
2020,Indonesia,Python,,,,,Java,,,MATLAB,
2020,United Kingdom of Great Britain and Northern Ireland,Python,,SQL,,,Java,,,,
2020,India,Python,R,SQL,,,,,,,
2020,Germany,Python,,,,C++,,,,,
2020,Taiwan,Python,,,,C++,,,,,
2020,Colombia,Python,,SQL,,,,,,,
2020,India,Python,,SQL,,,,,,MATLAB,
2020,Nepal,Python,,SQL,C,,Java,Javascript,,,
2020,Italy,,R,,,,,,,,
2020,Other,Python,,,,C++,Java,,,MATLAB,
2020,United States of America,Python,,SQL,,C++,Java,,,,
2020,India,Python,,,,,,,,,
2020,Japan,Python,,,,,,,,,
2020,United States of America,Python,,SQL,,,,,,,
2020,Republic of Korea,Python,R,SQL,,,,,,,
2020,Russia,Python,,,,C++,,Javascript,,,
2020,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,
2020,India,,,SQL,,C++,,,,,
2020,Australia,Python,,SQL,,,,,,MATLAB,
2020,United States of America,Python,,,,,,,,,
2020,Chile,Python,,SQL,,,,Javascript,,,
2020,Japan,,,,,,,,,,
2020,Saudi Arabia,Python,R,SQL,,C++,Java,Javascript,,,
2020,India,Python,,,,,,,,,
2020,United States of America,Python,R,,,,,,,,
2020,India,Python,,SQL,,,,Javascript,Bash,,
2020,United States of America,Python,,SQL,,,,,,,
2020,United States of America,Python,,,,C++,,,,,
2020,India,Python,,,,C++,,Javascript,Bash,,
2020,United States of America,,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,R,,,,,,,MATLAB,
2020,Canada,Python,,,,,,,,,
2020,India,,,,,,,,,,
2020,Japan,Python,,SQL,,,Java,,,,
2020,India,Python,,SQL,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,,,,,,,,,,
2020,Other,,,,,,,,,,
2020,Brazil,Python,R,,C,,,Javascript,,,
2020,India,Python,,SQL,C,C++,,,,,
2020,United States of America,,,,,,,Javascript,,,
2020,Kenya,Python,,,,,,,,,
2020,Brazil,,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,Italy,Python,,,,,,,,,
2020,India,Python,,SQL,,,Java,,Bash,,
2020,Spain,Python,,,,,,,,,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Japan,Python,,,C,C++,Java,,Bash,,
2020,United States of America,Python,,,,C++,,,,,
2020,Russia,Python,,,,C++,,,,,
2020,Other,Python,,SQL,,,,Javascript,,,
2020,Turkey,Python,,,,,Java,,,,
2020,India,Python,R,,,,,,,,
2020,Germany,Python,R,SQL,C,C++,Java,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,,SQL,,,,,,,
2020,United States of America,Python,,SQL,,,,,Bash,,
2020,India,,,,,,Java,,,,
2020,United States of America,Python,,SQL,,C++,,,,,
2020,Turkey,,,,,,,,,,
2020,India,Python,,,C,C++,,,,,
2020,Japan,Python,,,C,C++,Java,Javascript,,MATLAB,
2020,India,,,,,,,,,,
2020,India,Python,,,,,Java,Javascript,,,
2020,South Korea,Python,,,,,,,,,
2020,India,Python,,SQL,,,,,,,
2020,Other,,,,,,,,,,
2020,India,,,SQL,C,C++,Java,,,,
2020,India,Python,,,,C++,,,,,
2020,Mexico,Python,,,,,,,,,
2020,China,Python,,,,,,,,,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Ireland,,,,,,,,,,
2020,India,Python,,,,C++,,,,,
2020,India,Python,,,C,,Java,,,,
2020,India,Python,,SQL,,C++,,,,,
2020,Germany,Python,,SQL,,,,,,,
2020,India,Python,,,C,C++,,,,,
2020,Taiwan,Python,,,,,,,,,
2020,"Iran, Islamic Republic of...",Python,,,C,,,,,MATLAB,
2020,Spain,Python,R,,,,,,,,
2020,Sweden,Python,,,,,,,,,
2020,Spain,Python,,SQL,,,Java,Javascript,Bash,,
2020,Nigeria,Python,,,,,,,,,
2020,India,,,,,,,,,,
2020,Poland,Python,,SQL,,,,,,,
2020,Germany,,,,,,,,,,
2020,Poland,,,SQL,,,,,,,
2020,Tunisia,Python,R,SQL,,,,,,,
2020,Netherlands,Python,,SQL,,,,,Bash,,
2020,India,Python,,,,C++,,,,,
2020,Pakistan,Python,,,,,,,,,
2020,United States of America,Python,,SQL,,,,Javascript,,,
2020,India,Python,R,,,,,,,,
2020,Canada,Python,R,,C,C++,,Javascript,Bash,,
2020,United States of America,,,,,,,,,MATLAB,
2020,France,Python,,,,,,,,,
2020,India,,R,,,,,Javascript,,MATLAB,
2020,India,Python,,SQL,,C++,Java,Javascript,,,
2020,Bangladesh,,,,,,,,,,
2020,India,Python,,,C,,,,,,
2020,India,Python,,,C,C++,,Javascript,,,
2020,India,Python,,,C,,Java,,,,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Kenya,Python,,,,C++,,Javascript,,,
2020,Other,,,,,,,,,,
2020,Japan,Python,,,,,,,,,
2020,India,Python,,SQL,,C++,Java,Javascript,,,
2020,Brazil,Python,,,C,,Java,,Bash,,
2020,Turkey,Python,,,,,,,,,
2020,India,Python,,,C,,Java,,,,
2020,India,Python,,,,,,,,,
2020,Other,Python,,SQL,,C++,Java,Javascript,,,
2020,India,,,,,,,,,,
2020,Bangladesh,,,,,,,,,,
2020,Ghana,,,,,,,,,,
2020,China,Python,,,,C++,,,,,
2020,Greece,Python,,SQL,,,,,,,
2020,Tunisia,,,,,,,,,,
2020,Other,Python,,SQL,,C++,,Javascript,,,
2020,Other,Python,,SQL,C,,Java,,,,
2020,United Kingdom of Great Britain and Northern Ireland,Python,,SQL,,,,,Bash,,
2020,Indonesia,,R,,,,,,,,
2020,Taiwan,Python,R,SQL,,C++,Java,,,,
2020,India,Python,,,,,,,,,
2020,Australia,Python,,,,,,Javascript,,,
2020,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,
2020,United States of America,Python,R,,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,,,C,C++,Java,,,MATLAB,
2020,Russia,Python,,,,,,,,,
2020,United States of America,Python,,SQL,C,C++,,,Bash,MATLAB,
2020,Brazil,Python,,,,,,,,,
2020,India,Python,,,,C++,,,,,
2020,Taiwan,Python,,SQL,,,,,,,
2020,United States of America,Python,,,,,,,,,
2020,United Kingdom of Great Britain and Northern Ireland,Python,,,,,,,,,
2020,India,Python,,SQL,C,C++,,,,MATLAB,
2020,Mexico,Python,,SQL,,,,,,,
2020,India,Python,R,,,,,,,,
2020,Other,Python,,,,,,,,MATLAB,
2020,Italy,Python,R,SQL,,C++,,,,,
2020,China,Python,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,Republic of Korea,Python,,,C,,Java,,,,
2020,India,Python,R,SQL,,,,,Bash,,
2020,India,Python,,,,,,,,MATLAB,
2020,India,Python,,SQL,C,C++,Java,,,,
2020,India,,,,,,,,,,
2020,Republic of Korea,Python,,,,,,,,,
2020,France,Python,,,,C++,,,,MATLAB,
2020,India,Python,,SQL,,,,,,,
2020,Kenya,Python,,,,C++,,,,,
2020,Other,Python,,,,C++,,,,MATLAB,
2020,United States of America,Python,R,SQL,,,,,,,
2020,United States of America,Python,,SQL,,,,,,,Julia
2020,United States of America,Python,R,,,,,,,,
2020,Germany,,R,,,,,,,,
2020,Bangladesh,Python,,,C,C++,,,,MATLAB,
2020,Saudi Arabia,,,,,,,,,,
2020,United Arab Emirates,,,,,,,,,,
2020,Chile,Python,,,,,,,,,
2020,United States of America,Python,,,,C++,,,,MATLAB,
2020,Turkey,Python,,SQL,,,,,,,
2020,Thailand,,,,,,,,,,
2020,Australia,,R,SQL,,,,,,,
2020,United States of America,Python,,,,,Java,Javascript,Bash,,
2020,United States of America,,,,,,,,,,
2020,United States of America,Python,,,,,,,,,
2020,Malaysia,,,,,,,Javascript,,,
2020,India,Python,,SQL,C,C++,,,,,
2020,Germany,Python,,SQL,C,C++,Java,,,,
2020,Egypt,Python,,,,C++,,,,,
2020,India,Python,,,,,,,,,
2020,Colombia,,,,,,,,,,
2020,China,Python,,,C,,,,,,
2020,Colombia,Python,,,,,,,,,
2020,Greece,,R,SQL,,,,Javascript,,,
2020,India,Python,,,,,,,Bash,,
2020,Japan,Python,,SQL,C,C++,,Javascript,,MATLAB,
2020,Turkey,,,,,,,,,,
2020,India,Python,,,,,,Javascript,,,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Thailand,,,,,,,,,,
2020,India,Python,,SQL,,C++,,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,,,,C++,,Javascript,,,
2020,"Iran, Islamic Republic of...",Python,,,,,Java,,,,
2020,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,MATLAB,
2020,United Kingdom of Great Britain and Northern Ireland,Python,R,,,,,,,,
2020,Japan,Python,,,,,,,,,
2020,India,Python,,SQL,,C++,,,,,
2020,United States of America,Python,,SQL,,,,,,,
2020,Ukraine,Python,,SQL,,,,,,,
2020,India,Python,,,,C++,,Javascript,,,
2020,Turkey,,,,C,,Java,,,MATLAB,
2020,China,,,,,,,,,,
2020,India,,,,,,,,,,
2020,Other,,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,Belarus,Python,,,,C++,Java,,,,
2020,United States of America,Python,,,,,,,,,
2020,Netherlands,,,SQL,,,,,,,
2020,Philippines,Python,,SQL,,,,,,,
2020,Morocco,,,,,,,,,,
2020,Other,Python,,,,,,,,,
2020,Japan,Python,R,SQL,,,,,,,
2020,India,Python,,SQL,,,,,,,
2020,United States of America,,,,,,,Javascript,,,
2020,Australia,Python,,,,,,,,,
2020,United States of America,Python,,,,C++,,,Bash,,
2020,Spain,,,,,,,,,,
2020,Nepal,Python,,SQL,,,Java,,,,
2020,Other,,R,SQL,,,,Javascript,,,
2020,United States of America,Python,R,,,,,,,,
2020,Ukraine,Python,,,,,,,,,
2020,Morocco,Python,,SQL,,,Java,,,,
2020,Brazil,Python,R,SQL,,,,,,,
2020,India,,,,,,,,,,
2020,India,Python,R,,,,,,,,
2020,United States of America,Python,,SQL,C,C++,Java,,Bash,,
2020,India,Python,,,C,,Java,,,MATLAB,
2020,India,Python,R,,,,,,,,
2020,Taiwan,Python,,SQL,,,Java,Javascript,Bash,,
2020,Ukraine,Python,,,,,,,,,
2020,Kenya,Python,,,,,,Javascript,,,
2020,Italy,,,,,C++,,,,MATLAB,
2020,Nigeria,,,,,,,,,,
2020,South Africa,Python,,SQL,,,,,,,
2020,Poland,,,,,,,,,,
2020,India,Python,,,C,C++,,,,,
2020,India,Python,,SQL,,,,,,,
2020,Canada,Python,R,SQL,,,,,Bash,,Julia
2020,Indonesia,Python,,SQL,,,,Javascript,,,
2020,Russia,Python,R,SQL,,,,,,,
2020,India,Python,,SQL,C,,,,,,
2020,Other,Python,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,Nigeria,Python,,,,,,,,,
2020,United States of America,Python,R,SQL,,,,,Bash,,Julia
2020,India,Python,,,,,,,,,
2020,Canada,,R,,,,,,,,
2020,India,Python,,,,C++,,,,,
2020,Other,Python,,SQL,,,,,,,
2020,Germany,Python,,,,,,,,,
2020,Peru,Python,R,,,C++,,,,,
2020,"Iran, Islamic Republic of...",Python,,,,,,,,MATLAB,
2020,India,Python,,,,,,,,,
2020,South Korea,Python,,,C,C++,,,,,
2020,United States of America,,,,,C++,,Javascript,,,
2020,Turkey,Python,,,,,,,,,
2020,United States of America,Python,,SQL,,,,,,,
2020,United States of America,Python,,SQL,,,,,,,
2020,Italy,Python,,,,C++,,,,,
2020,India,Python,,,,,,,,,
2020,Egypt,,,,,,,,,,
2020,Germany,,,SQL,,,,Javascript,,,
2020,"Iran, Islamic Republic of...",Python,,,,,,,,,
2020,India,Python,,,C,,,,,,
2020,Japan,Python,,SQL,,,Java,Javascript,,,
2020,India,Python,,SQL,,,,Javascript,,,
2020,Colombia,Python,R,SQL,,,,,,,
2020,Italy,Python,,SQL,,,,Javascript,,,
2020,Colombia,Python,,SQL,,,,,,,
2020,Nigeria,Python,,,,C++,,,,MATLAB,
2020,United States of America,Python,,SQL,,,Java,Javascript,,,
2020,Germany,,,,,,,,,,Julia
2020,India,Python,R,SQL,C,C++,Java,,,,
2020,United Kingdom of Great Britain and Northern Ireland,Python,,SQL,,,,,,,
2020,Turkey,Python,R,,C,,Java,,,MATLAB,
2020,Japan,Python,,,,,,,,,
2020,India,Python,,,C,C++,,Javascript,,,
2020,Japan,,R,,,,,,,,
2020,Spain,,,,,,,,,,
2020,India,Python,,SQL,,C++,,,,,
2020,Colombia,,,SQL,,,,,,,
2020,India,,,,,,Java,,,,
2020,United States of America,Python,R,SQL,,,,,,,
2020,United States of America,Python,,,,C++,,,,,
2020,Brazil,Python,,SQL,C,,,Javascript,,,
2020,India,Python,R,SQL,,,,,,,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Poland,Python,,,,,,,,,
2020,Indonesia,Python,R,SQL,,,,Javascript,,,
2020,United States of America,Python,,SQL,,,,,,,
2020,Mexico,Python,R,,,,,,,,
2020,Mexico,Python,,,,C++,,,,MATLAB,
2020,France,Python,,,C,C++,,,,,
2020,Brazil,,,,,,,,,,
2020,Mexico,Python,,SQL,,,,,,,
2020,India,Python,,SQL,,,Java,,,,
2020,India,Python,,SQL,,,,,,,
2020,Portugal,Python,,,,,,,,,
2020,United States of America,,,SQL,,,Java,Javascript,,,
2020,Japan,Python,,,,,,,,,
2020,United States of America,Python,,SQL,,,,,,,
2020,Nepal,Python,,,,,,,,MATLAB,
2020,India,Python,,,,,,,,,
2020,India,Python,R,,,,,,,MATLAB,
2020,India,Python,,,,,Java,,,,
2020,Saudi Arabia,Python,,SQL,,,,,,MATLAB,
2020,India,Python,,,C,,Java,,,,
2020,India,Python,,SQL,C,C++,Java,,,,
2020,India,Python,,,C,C++,,Javascript,,MATLAB,
2020,Italy,,,SQL,,,,,,,
2020,Singapore,Python,R,,,,,,,,
2020,Mexico,Python,R,SQL,,,,,,,
2020,France,Python,R,SQL,,,,,,,
2020,Colombia,Python,,SQL,,,,,,,
2020,Italy,Python,R,SQL,,,,,,,
2020,Viet Nam,Python,,,,,,,,,
2020,United States of America,,,,,,,,,,
2020,Japan,Python,,SQL,,,,,,,
2020,India,Python,,,,,Java,,,,
2020,Belarus,,,,,,,,,,
2020,United States of America,Python,,SQL,,,,,,,
2020,Brazil,Python,,SQL,,,,,,,
2020,Saudi Arabia,Python,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,United States of America,Python,,,,,Java,,Bash,,
2020,India,,,SQL,,,,,,,
2020,India,Python,,,,,,,,,
2020,Netherlands,,,SQL,,,,,,,
2020,Netherlands,,,SQL,,,,Javascript,,,
2020,India,Python,R,SQL,,,,,Bash,,
2020,India,Python,,,,,Java,,,,
2020,India,Python,R,SQL,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,,,,C,,,,,MATLAB,
2020,Russia,Python,,SQL,,C++,,,Bash,MATLAB,
2020,India,,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,,SQL,,C++,,,,,
2020,Japan,Python,,,,,,,,,
2020,South Korea,Python,R,,,,,,,,
2020,United States of America,Python,,,,,,,,,
2020,Germany,Python,,SQL,C,C++,Java,Javascript,,,
2020,Japan,Python,,,,,,,,,
2020,Other,Python,R,SQL,,,Java,Javascript,,,
2020,United States of America,,R,,,,,,,,
2020,Tunisia,Python,,SQL,,,,Javascript,,MATLAB,
2020,Brazil,,,,,,,,,,
2020,Other,Python,,SQL,C,C++,Java,Javascript,,MATLAB,
2020,India,Python,,SQL,,,Java,,,,
2020,Philippines,,,,,,,,,,
2020,India,Python,,SQL,,C++,Java,,,,
2020,Mexico,,,,,,,,,,
2020,Morocco,Python,,,,,Java,,,,
2020,United States of America,Python,,SQL,,,,,Bash,,
2020,India,Python,,SQL,,,,Javascript,,,
2020,Canada,Python,,SQL,,,,,,,
2020,Brazil,Python,R,,,,,,,,
2020,India,Python,,,,,,,,,
2020,Portugal,Python,,SQL,,,,,,,
2020,"Iran, Islamic Republic of...",Python,,,,,,,,,
2020,Portugal,Python,,,,,,,,,
2020,Other,Python,,,,C++,,,,,
2020,Philippines,,,,,,Java,,,,
2020,Poland,Python,,SQL,,,,,,,
2020,India,Python,,,,,,,,,
2020,United States of America,Python,R,SQL,,,,,,,
2020,Greece,Python,,,C,C++,,,,MATLAB,
2020,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,
2020,India,Python,,SQL,,,,,,,
2020,India,Python,,SQL,C,C++,,,,,
2020,Other,Python,,,,,,,,,
2020,Brazil,Python,,,,,,,Bash,,
2020,Greece,Python,,,,,Java,,,MATLAB,
2020,India,Python,,SQL,,,,,,,
2020,Portugal,Python,R,SQL,,C++,Java,,Bash,,
2020,India,Python,,SQL,C,,,Javascript,,,
2020,China,Python,,SQL,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,,,,,,,,,,
2020,Brazil,Python,R,,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,Nigeria,Python,,SQL,,,,Javascript,,,
2020,Chile,Python,,,,,,,,,
2020,India,Python,,,C,,Java,,,,
2020,Sweden,Python,,,C,,,Javascript,,,
2020,France,Python,,,,,,,,,
2020,India,Python,,SQL,,,,,,,
2020,Taiwan,Python,,SQL,,,,,,,
2020,Switzerland,Python,R,,C,C++,,,Bash,MATLAB,
2020,Other,Python,,SQL,,,,Javascript,,,
2020,India,,,,,,Java,,,MATLAB,
2020,India,,,,,,,,,,
2020,India,,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,India,Python,,,,,,,,,
2020,Philippines,Python,R,,,,,,,,
